ageGroup,virus,V1,V2,V3,SARS2W,SARS2A,SARS2D,SARS2O,V1_SARS2W,V1_SARS2A,V1_SARS2D,V1_SARS2O,V2_SARS2W,V2_SARS2A,V2_SARS2D,V2_SARS2O,V3_SARS2W,V3_SARS2A,V3_SARS2D,V3_SARS2O
0-5,wuhan,0.4724863916219016,0.6739850416219016,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471
5-10,wuhan,0.4951987815941937,0.6966974315941937,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10-15,wuhan,0.5178564937591624,0.7193551437591624,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15-20,wuhan,0.5410239447075991,0.7425225947075991,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20-25,wuhan,0.5628105649511281,0.7643092149511281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25-30,wuhan,0.5836744799301254,0.7851731299301256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30-35,wuhan,0.6033635074290797,0.8048621574290798,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35-40,wuhan,0.621579183563768,0.8230778335637681,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40-45,wuhan,0.637801561814004,0.839300211814004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45-50,wuhan,0.6510362554127185,0.8525349054127185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50-55,wuhan,0.6602328894112811,0.8617315394112811,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55-60,wuhan,0.6639113835742393,0.8654100335742394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60-65,wuhan,0.6596283859005596,0.8611270359005597,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65-70,wuhan,0.6437201511846321,0.8452188011846321,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70-75,wuhan,0.6146511243895804,0.8161497743895805,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75+,wuhan,0.5225573017365149,0.724055951736515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0-5,alpha,0.23482890162190148,0.5209289116219016,0.9998512890141471,0.7162738116219016,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9132341039614422,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.8025851816219015,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471,0.9998512890141471
5-10,alpha,0.25754129159419364,0.5436413015941937,1,0.7389862015941937,1,1,1,0.9359464939337343,1,1,1,0.8252975715941936,1,1,1,1,1,1,1
10-15,alpha,0.28019900375916235,0.5662990137591624,1,0.7616439137591624,1,1,1,0.9586042060987031,1,1,1,0.8479552837591624,1,1,1,1,1,1,1
15-20,alpha,0.303366454707599,0.589466464707599,1,0.784811364707599,1,1,1,0.9817716570471398,1,1,1,0.871122734707599,1,1,1,1,1,1,1
20-25,alpha,0.32515307495112805,0.6112530849511282,1,0.8065979849511282,1,1,1,0.9988138599737872,1,1,1,0.8929093549511281,1,1,1,1,1,1,1
25-30,alpha,0.3460169899301254,0.6321169999301254,1,0.8274618999301255,1,1,1,1,1,1,1,0.9137732699301254,1,1,1,1,1,1,1
30-35,alpha,0.36570601742907966,0.6518060274290798,1,0.8471509274290798,1,1,1,1,1,1,1,0.9334622974290797,1,1,1,1,1,1,1
35-40,alpha,0.383921693563768,0.670021703563768,1,0.865366603563768,1,1,1,1,1,1,1,0.9516779735637679,1,1,1,1,1,1,1
40-45,alpha,0.4001440718140039,0.686244081814004,1,0.881588981814004,1,1,1,1,1,1,1,0.9679003518140039,1,1,1,1,1,1,1
45-50,alpha,0.4133787654127184,0.6994787754127184,1,0.8948236754127186,1,1,1,1,1,1,1,0.9811350454127183,1,1,1,1,1,1,1
50-55,alpha,0.422575399411281,0.708675409411281,1,0.9040203094112811,1,1,1,1,1,1,1,0.990331679411281,1,1,1,1,1,1,1
55-60,alpha,0.42625389357423926,0.7123539035742394,1,0.9076988035742395,1,1,1,1,1,1,1,0.9940101735742394,1,1,1,1,1,1,1
60-65,alpha,0.4219708959005596,0.7080709059005597,1,0.9034158059005597,1,1,1,1,1,1,1,0.9897271759005596,1,1,1,1,1,1,1
65-70,alpha,0.40606266118463197,0.692162671184632,1,0.8875075711846322,1,1,1,1,1,1,1,0.9738189411846321,1,1,1,1,1,1,1
70-75,alpha,0.3769936343895804,0.6630936443895804,1,0.8584385443895804,1,1,1,1,1,1,1,0.9447499143895804,1,1,1,1,1,1,1
75+,alpha,0.2848998117365149,0.570999821736515,1,0.766344721736515,1,1,1,0.9600812260938478,1,1,1,0.8526560917365149,1,1,1,1,1,1,1
0-5,delta,0.12193282162190147,0.3478231316219014,0.5737134416219015,0.5584652416219016,0.3781258516219016,0.9998512890141471,0.9998512890141471,0.9497641049978358,0.6902466816219014,0.9998512890141471,0.9998512890141471,0.7992927516219015,0.7372796416219014,0.9998512890141471,0.9998512890141471,0.7247682716219015,0.7843126016219018,0.9998512890141471,0.9998512890141471
5-10,delta,0.1446452115941936,0.37053552159419356,0.5964258315941937,0.5811776315941938,0.40083824159419373,1,1,0.9724764949701281,0.7129590715941935,1,1,0.8220051415941937,0.7599920315941936,1,1,0.7474806615941936,0.8070249915941938,1,1
10-15,delta,0.16730292375916234,0.3931932337591624,0.6190835437591624,0.6038353437591625,0.42349595375916244,1,1,0.9942805696655792,0.7356167837591623,1,1,0.8446628537591623,0.7826497437591623,1,1,0.7701383737591623,0.8296827037591625,1,1
15-20,delta,0.19047037470759898,0.41636068470759896,0.642250994707599,0.627002794707599,0.4466634047075991,1,1,1,0.7587842347075989,1,1,0.867830304707599,0.8058171947075989,1,1,0.7933058247075989,0.8528501547075992,1,1
20-25,delta,0.21225699495112807,0.438147304951128,0.6640376149511282,0.6487894149511282,0.46845002495112814,1,1,1,0.780570854951128,1,1,0.8896169249511282,0.8276038149511281,1,1,0.8150924449511281,0.8746367749511282,1,1
25-30,delta,0.23312090993012538,0.45901121993012534,0.6849015299301254,0.6696533299301255,0.4893139399301255,1,1,1,0.8014347699301253,1,1,0.9104808399301254,0.8484677299301253,1,1,0.8359563599301253,0.8955006899301257,1,1
30-35,delta,0.2528099374290797,0.4787002474290797,0.7045905574290797,0.6893423574290798,0.5090029674290798,1,1,1,0.8211237974290796,1,1,0.9301698674290798,0.8681567574290797,1,1,0.8556453874290796,0.91518971742908,1,1
35-40,delta,0.271025613563768,0.4969159235637679,0.722806233563768,0.707558033563768,0.527218643563768,1,1,1,0.8393394735637678,1,1,0.948385543563768,0.8863724335637679,1,1,0.873861063563768,0.9334053935637682,1,1
40-45,delta,0.2872479918140039,0.5131383018140039,0.7390286118140039,0.7237804118140041,0.543441021814004,1,1,1,0.8555618518140038,1,1,0.964607921814004,0.902594811814004,1,1,0.8900834418140039,0.949627771814004,1,1
45-50,delta,0.30048268541271844,0.5263729954127184,0.7522633054127185,0.7370151054127185,0.5566757154127185,1,1,1,0.8687965454127182,1,1,0.9778426154127184,0.9158295054127183,1,1,0.9033181354127184,0.9628624654127187,1,1
50-55,delta,0.30967931941128096,0.535569629411281,0.761459939411281,0.7462117394112812,0.5658723494112811,1,1,1,0.8779931794112809,1,1,0.9870392494112809,0.925026139411281,1,1,0.9125147694112808,0.9720590994112811,1,1
55-60,delta,0.31335781357423925,0.5392481235742392,0.7651384335742394,0.7498902335742395,0.5695508435742394,1,1,1,0.8816716735742391,1,1,0.9907177435742393,0.9287046335742392,1,1,0.9161932635742392,0.9757375935742394,1,1
60-65,delta,0.3090748159005595,0.5349651259005596,0.7608554359005595,0.7456072359005597,0.5652678459005597,1,1,1,0.8773886759005595,1,1,0.9864347459005596,0.9244216359005595,1,1,0.9119102659005596,0.9714545959005598,1,1
65-70,delta,0.29316658118463196,0.5190568911846319,0.744947201184632,0.7296990011846322,0.5493596111846321,1,1,1,0.861480441184632,1,1,0.970526511184632,0.908513401184632,1,1,0.8960020311846318,0.9555463611846322,1,1
70-75,delta,0.2640975543895803,0.48998786438958036,0.7158781743895803,0.7006299743895804,0.5202905843895805,1,1,1,0.8324114143895802,1,1,0.9414574843895804,0.8794443743895803,1,1,0.8669330043895803,0.9264773343895806,1,1
75+,delta,0.17200373173651487,0.3978940417365149,0.6237843517365149,0.608536151736515,0.42819676173651494,1,1,0.9821105769599479,0.7403175917365148,1,1,0.8493636617365148,0.787350551736515,1,1,0.7748391817365148,0.8343835117365151,1,1
0-5,omicron,0.14832055862625015,0.20993645162190153,0.2715523616219015,0.3965406816219016,0.1888007516219015,0.3014961316219015,0.9998512890141471,0.6959016616219014,0.3076466316219014,0.3520982716219015,0.9998512890141471,0.4473623016219015,0.4334660216219015,0.6996446516219017,0.9998512890141471,0.19882294162190145,0.5592854116219016,0.9998512890141471,0.9998512890141471
5-10,omicron,0.17103294859854232,0.2326488415941937,0.29426475159419374,0.41925307159419367,0.21151314159419363,0.32420852159419355,1,0.7186140515941936,0.33035902159419356,0.37481066159419363,1,0.47007469159419363,0.45617841159419376,0.7223570415941938,1,0.22153533159419364,0.5819978015941937,1,1
