ageGroup,virus,V1,V2,V3,SARS2W,SARS2A,SARS2D,SARS2O,V1_SARS2W,V1_SARS2A,V1_SARS2D,V1_SARS2O,V2_SARS2W,V2_SARS2A,V2_SARS2D,V2_SARS2O,V3_SARS2W,V3_SARS2A,V3_SARS2D,V3_SARS2O
0-5,wuhan,0.7982969995617015,0.8648047222275065,0.9998511948464438,0.8631389035769066,0.8631389035769066,0.8631389035769066,0.8631389035769066,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438
5-10,wuhan,0.8210093895339936,0.8875171121997987,1,0.8858512935491988,0.8858512935491988,0.8858512935491988,0.8858512935491988,1,1,1,1,1,1,1,1,1,1,1,1
10-15,wuhan,0.8436671016989623,0.9101748243647673,1,0.9085090057141675,0.9085090057141675,0.9085090057141675,0.9085090057141675,1,1,1,1,1,1,1,1,1,1,1,1
15-20,wuhan,0.866834552647399,0.933342275313204,1,0.9316764566626041,0.9316764566626041,0.9316764566626041,0.9316764566626041,1,1,1,1,1,1,1,1,1,1,1,1
20-25,wuhan,0.8886211728909281,0.9551288955567331,1,0.9534630769061332,0.9534630769061332,0.9534630769061332,0.9534630769061332,1,1,1,1,1,1,1,1,1,1,1,1
25-30,wuhan,0.9094850878699253,0.9759928105357303,1,0.9743269918851305,0.9743269918851305,0.9743269918851305,0.9743269918851305,1,1,1,1,1,1,1,1,1,1,1,1
30-35,wuhan,0.9291741153688796,0.9950331660004006,1,0.9936875555631411,0.9936875555631411,0.9936875555631411,0.9936875555631411,1,1,1,1,1,1,1,1,1,1,1,1
35-40,wuhan,0.9473897915035678,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40-45,wuhan,0.9636121697538038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45-50,wuhan,0.9768468633525185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50-55,wuhan,0.986043497351081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55-60,wuhan,0.9897219915140392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60-65,wuhan,0.9854389938403594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65-70,wuhan,0.9695307591244319,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70-75,wuhan,0.9404617323293804,0.9978776436891282,1,0.997305007577347,0.997305007577347,0.997305007577347,0.997305007577347,1,1,1,1,1,1,1,1,1,1,1,1
75+,wuhan,0.8483679096763148,0.9148756323421199,1,0.9132098136915201,0.9132098136915201,0.9132098136915201,0.9132098136915201,1,1,1,1,1,1,1,1,1,1,1,1
