ageGroup,virus,u_death,R0,u_incubation,u_recovery,disability_weighting,u_death_natural,u_transmission
0-5,wuhan,3.636988735910405e-6,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.0750627911037369
5-10,wuhan,5.898971833644324e-6,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07506635421494769
10-15,wuhan,9.555650102334318e-6,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07507211427184043
15-20,wuhan,1.5748769987530132e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07508186977130228
20-25,wuhan,2.551791787149517e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07509725828608829
25-30,wuhan,4.1329172463941244e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07512216442201444
30-35,wuhan,6.702967755666855e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07516264826024932
35-40,wuhan,1.0903401989542324e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07522881415832289
40-45,wuhan,1.7799627469253232e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07533744458241161
45-50,wuhan,2.8885029894753296e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07551206357800845
50-55,wuhan,4.647775465914023e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07578918693449592
55-60,wuhan,7.424133989759277e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07622652327849311
60-65,wuhan,0.0011819161942601276,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07691883496668216
65-70,wuhan,0.0018717521541870407,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07800547537742562
70-75,wuhan,0.002850105916406515,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07954659355013322
75+,wuhan,0.005878204790913614,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.08431650233412123
0-5,alpha,3.636988735910405e-6,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.1307701570692762
5-10,alpha,5.898971833644324e-6,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.13077264109262615
10-15,alpha,9.555650102334318e-6,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.13077665671688607
15-20,alpha,1.5748769987530132e-5,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.13078345776434722
20-25,alpha,2.551791787149517e-5,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.13079418586902553
25-30,alpha,4.1329172463941244e-5,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.13081154918426838
30-35,alpha,6.702967755666855e-5,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.1308397724962906
35-40,alpha,1.0903401989542324e-4,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.13088590005899173
40-45,alpha,1.7799627469253232e-4,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.13096163177040646
45-50,alpha,2.8885029894753296e-4,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.13108336742128882
50-55,alpha,4.647775465914023e-4,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.1312765639979923
55-60,alpha,7.424133989759277e-4,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.1315814530755468
60-65,alpha,0.0011819161942601276,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.1320640982407369
65-70,alpha,0.0018717521541870407,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.1328216497157342
70-75,alpha,0.002850105916406515,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.1338960404095987
75+,alpha,0.005878204790913614,1.098,0.201612903225806,0.11904762,0.133,2.9702931506849318e-5,0.1372213828128327
0-5,delta,3.636988735910405e-6,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.25953183395497426
5-10,delta,5.898971833644324e-6,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.2595356730453875
10-15,delta,9.555650102334318e-6,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.2595418792449385
15-20,delta,1.5748769987530132e-5,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.2595523903522951
20-25,delta,2.551791787149517e-5,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.25956897077768565
25-30,delta,4.1329172463941244e-5,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.25959580600735094
30-35,delta,6.702967755666855e-5,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.25963942550336533
35-40,delta,1.0903401989542324e-4,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.2597107162518009
40-45,delta,1.7799627469253232e-4,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.25982776059732693
45-50,delta,2.8885029894753296e-4,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.26001590462997237
50-55,delta,4.647775465914023e-4,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.26031449245343097
55-60,delta,7.424133989759277e-4,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.2607857024904651
60-65,delta,0.0011819161942601276,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.26153163687416864
65-70,delta,0.0018717521541870407,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.2627024425371721
70-75,delta,0.002850105916406515,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.2643629273361217
75+,delta,0.005878204790913614,1.697,0.225733634311512,0.15288221,0.133,2.9702931506849318e-5,0.2695022872946591
0-5,omicron,3.636988735910405e-6,2.511,0.277008310249308,0.27513228,0.133,2.9702931506849318e-5,0.6910149595392093
5-10,omicron,5.898971833644324e-6,2.511,0.277008310249308,0.27513228,0.133,2.9702931506849318e-5,0.6910206399878032
10-15,omicron,9.555650102334318e-6,2.511,0.277008310249308,0.27513228,0.133,2.9702931506849318e-5,0.691029822891491
15-20,omicron,1.5748769987530132e-5,2.511,0.277008310249308,0.27513228,0.133,2.9702931506849318e-5,0.6910453754830107
20-25,omicron,2.551791787149517e-5,2.511,0.277008310249308,0.27513228,0.133,2.9702931506849318e-5,0.6910699084436753
25-30,omicron,4.1329172463941244e-5,2.511,0.277008310249308,0.27513228,0.133,2.9702931506849318e-5,0.691109614761113
30-35,omicron,6.702967755666855e-5,2.511,0.277008310249308,0.27513228,0.133,2.9702931506849318e-5,0.6911741556492222
35-40,omicron,1.0903401989542324e-4,2.511,0.277008310249308,0.27513228,0.133,2.9702931506849318e-5,0.6912796398624392
40-45,omicron,1.7799627469253232e-4,2.511,0.277008310249308,0.27513228,0.133,2.9702931506849318e-5,0.6914528226522156
45-50,omicron,2.8885029894753296e-4,2.511,0.277008310249308,0.27513228,0.133,2.9702931506849318e-5,0.6917312069543954
50-55,omicron,4.647775465914023e-4,2.511,0.277008310249308,0.27513228,0.133,2.9702931506849318e-5,0.6921730076413697
