ageGroup,virus,V1,V2,V3,SARS2W,SARS2A,SARS2D,SARS2O,V1_SARS2W,V1_SARS2A,V1_SARS2D,V1_SARS2O,V2_SARS2W,V2_SARS2A,V2_SARS2D,V2_SARS2O,V3_SARS2W,V3_SARS2A,V3_SARS2D,V3_SARS2O
0-5,RaTG13,0.6356693016219016,0.7966693016219016,0.7966693016219016,0.7566693016219016,0.6796693016219016,0.6736693016219015,0.6586693016219015,0.8592959295635357,0.7996693016219015,0.7416693016219016,0.6836693016219015,0.8327932085902164,0.8631289767232124,0.8179247676387447,0.7876693016219015,0.8327932085902164,0.8631289767232124,0.8179247676387447,0.7876693016219015
5-10,RaTG13,0.6583816915941937,0.8193816915941936,0.8193816915941936,0.7793816915941937,0.7023816915941938,0.6963816915941937,0.6813816915941935,0.8820083195358279,0.8223816915941936,0.7643816915941937,0.7063816915941937,0.8555055985625086,0.8858413666955045,0.8406371576110367,0.8103816915941937,0.8555055985625086,0.8858413666955045,0.8406371576110367,0.8103816915941937
10-15,RaTG13,0.6810394037591625,0.8420394037591624,0.8420394037591624,0.8020394037591624,0.7250394037591625,0.7190394037591624,0.7040394037591623,0.9046660317007966,0.8450394037591623,0.7870394037591625,0.7290394037591624,0.8781633107274773,0.9084990788604732,0.8632948697760054,0.8330394037591624,0.8781633107274773,0.9084990788604732,0.8632948697760054,0.8330394037591624
15-20,RaTG13,0.704206854707599,0.8652068547075991,0.8652068547075991,0.825206854707599,0.7482068547075992,0.7422068547075991,0.7272068547075989,0.9278334826492333,0.8682068547075991,0.810206854707599,0.7522068547075991,0.9013307616759139,0.9316665298089098,0.8864623207244421,0.8562068547075989,0.9013307616759139,0.9316665298089098,0.8864623207244421,0.8562068547075989
20-25,RaTG13,0.7259934749511282,0.8869934749511281,0.8869934749511281,0.846993474951128,0.7699934749511281,0.7639934749511281,0.748993474951128,0.9496201028927623,0.8899934749511282,0.8319934749511281,0.7739934749511281,0.9231173819194431,0.9534531500524389,0.9082489409679712,0.877993474951128,0.9231173819194431,0.9534531500524389,0.9082489409679712,0.877993474951128
25-30,RaTG13,0.7468573899301255,0.9078573899301253,0.9078573899301253,0.8678573899301254,0.7908573899301256,0.7848573899301254,0.7698573899301252,0.9704840178717595,0.9108573899301254,0.8528573899301255,0.7948573899301253,0.9439812968984403,0.9743170650314362,0.9291128559469685,0.8988573899301253,0.9439812968984403,0.9743170650314362,0.9291128559469685,0.8988573899301253
30-35,RaTG13,0.7665464174290798,0.9275464174290796,0.9275464174290796,0.8875464174290798,0.8105464174290798,0.8045464174290798,0.7895464174290797,0.9901730453707139,0.9305464174290797,0.8725464174290798,0.8145464174290797,0.9636703243973949,0.993679536876392,0.9488018834459228,0.9185464174290797,0.9636703243973949,0.993679536876392,0.9488018834459228,0.9185464174290797
35-40,RaTG13,0.784762093563768,0.945762093563768,0.945762093563768,0.905762093563768,0.8287620935637681,0.8227620935637681,0.8077620935637678,1,0.948762093563768,0.8907620935637679,0.8327620935637681,0.9818860005320829,1,0.9670175595806109,0.9367620935637678,0.9818860005320829,1,0.9670175595806109,0.9367620935637678
40-45,RaTG13,0.8009844718140039,0.9619844718140039,0.9619844718140039,0.9219844718140041,0.844984471814004,0.838984471814004,0.8239844718140038,1,0.9649844718140039,0.9069844718140039,0.8489844718140039,0.9971126119529112,1,0.9832399378308471,0.9529844718140038,0.9971126119529112,1,0.9832399378308471,0.9529844718140038
45-50,RaTG13,0.8142191654127184,0.9752191654127184,0.9752191654127184,0.9352191654127184,0.8582191654127185,0.8522191654127185,0.8372191654127183,1,0.9782191654127185,0.9202191654127185,0.8622191654127185,1,1,0.9963071968180821,0.9662191654127184,1,1,0.9963071968180821,0.9662191654127184
50-55,RaTG13,0.8234157994112811,0.984415799411281,0.984415799411281,0.9444157994112811,0.8674157994112811,0.861415799411281,0.8464157994112809,1,0.987415799411281,0.929415799411281,0.871415799411281,1,1,1,0.975415799411281,1,1,1,0.975415799411281
55-60,RaTG13,0.8270942935742394,0.9880942935742393,0.9880942935742393,0.9480942935742392,0.8710942935742394,0.8650942935742394,0.8500942935742393,1,0.9910942935742393,0.9330942935742393,0.8750942935742393,1,1,1,0.9790942935742392,1,1,1,0.9790942935742392
60-65,RaTG13,0.8228112959005597,0.9838112959005596,0.9838112959005596,0.9438112959005596,0.8668112959005596,0.8608112959005596,0.8458112959005596,1,0.9868112959005596,0.9288112959005597,0.8708112959005596,1,1,1,0.9748112959005595,1,1,1,0.9748112959005595
65-70,RaTG13,0.8069030611846322,0.967903061184632,0.967903061184632,0.9279030611846321,0.8509030611846321,0.844903061184632,0.829903061184632,1,0.970903061184632,0.912903061184632,0.854903061184632,0.9988188882005473,1,0.989158527201475,0.958903061184632,0.9988188882005473,1,0.989158527201475,0.958903061184632
70-75,RaTG13,0.7778340343895805,0.9388340343895804,0.9388340343895804,0.8988340343895803,0.8218340343895806,0.8158340343895805,0.8008340343895803,0.9959839599975879,0.9418340343895804,0.8838340343895804,0.8258340343895805,0.9749579413578955,0.9973015951561333,0.9600895004064234,0.9298340343895803,0.9749579413578955,0.9973015951561333,0.9600895004064234,0.9298340343895803
75+,RaTG13,0.6857402117365149,0.8467402117365148,0.8467402117365148,0.8067402117365149,0.729740211736515,0.7237402117365149,0.7087402117365148,0.9093668396781491,0.8497402117365149,0.7917402117365149,0.7337402117365149,0.88286411870483,0.9131998868378257,0.867995677753358,0.8377402117365149,0.88286411870483,0.9131998868378257,0.867995677753358,0.8377402117365149
0-5,Rs4084,0.1646693016219015,0.2756693016219015,0.2756693016219015,0.2426693016219015,0.20866930162190156,0.14166930162190147,0.07466930162190148,0.6656693016219015,0.33566930162190145,0.4816693016219015,0.4816693016219015,0.47766930162190147,0.4076693016219015,0.5526693016219014,0.5526693016219014,0.47766930162190147,0.4076693016219015,0.5526693016219014,0.5526693016219014
5-10,Rs4084,0.18738169159419363,0.29838169159419364,0.29838169159419364,0.26538169159419367,0.2313816915941937,0.16438169159419364,0.09738169159419366,0.6883816915941938,0.3583816915941937,0.5043816915941938,0.5043816915941938,0.5003816915941937,0.4303816915941937,0.5753816915941936,0.5753816915941936,0.5003816915941937,0.4303816915941937,0.5753816915941936,0.5753816915941936
10-15,Rs4084,0.21003940375916236,0.3210394037591624,0.3210394037591624,0.2880394037591624,0.2540394037591624,0.18703940375916234,0.12003940375916237,0.7110394037591624,0.3810394037591624,0.5270394037591624,0.5270394037591624,0.5230394037591624,0.4530394037591624,0.5980394037591623,0.5980394037591623,0.5230394037591624,0.4530394037591624,0.5980394037591623,0.5980394037591623
15-20,Rs4084,0.23320685470759897,0.344206854707599,0.344206854707599,0.311206854707599,0.27720685470759904,0.21020685470759898,0.14320685470759897,0.734206854707599,0.404206854707599,0.5502068547075991,0.5502068547075991,0.546206854707599,0.47620685470759905,0.621206854707599,0.621206854707599,0.546206854707599,0.47620685470759905,0.621206854707599,0.621206854707599
20-25,Rs4084,0.25499347495112806,0.3659934749511281,0.3659934749511281,0.3329934749511281,0.29899347495112816,0.2319934749511281,0.1649934749511281,0.7559934749511281,0.4259934749511281,0.5719934749511281,0.5719934749511281,0.5679934749511281,0.49799347495112817,0.6429934749511281,0.6429934749511281,0.5679934749511281,0.49799347495112817,0.6429934749511281,0.6429934749511281
25-30,Rs4084,0.27585738993012543,0.38685738993012536,0.38685738993012536,0.35385738993012544,0.31985738993012547,0.2528573899301254,0.1858573899301254,0.7768573899301255,0.44685738993012536,0.5928573899301254,0.5928573899301254,0.5888573899301254,0.5188573899301254,0.6638573899301253,0.6638573899301253,0.5888573899301254,0.5188573899301254,0.6638573899301253,0.6638573899301253
30-35,Rs4084,0.2955464174290797,0.4065464174290797,0.4065464174290797,0.3735464174290798,0.33954641742907976,0.2725464174290797,0.20554641742907973,0.7965464174290798,0.46654641742907976,0.6125464174290798,0.6125464174290798,0.6085464174290798,0.5385464174290797,0.6835464174290796,0.6835464174290796,0.6085464174290798,0.5385464174290797,0.6835464174290796,0.6835464174290796
35-40,Rs4084,0.313762093563768,0.424762093563768,0.424762093563768,0.391762093563768,0.357762093563768,0.2907620935637679,0.22376209356376794,0.8147620935637679,0.4847620935637679,0.6307620935637679,0.6307620935637679,0.626762093563768,0.556762093563768,0.7017620935637678,0.7017620935637678,0.626762093563768,0.556762093563768,0.7017620935637678,0.7017620935637678
40-45,Rs4084,0.3299844718140039,0.4409844718140039,0.4409844718140039,0.407984471814004,0.37398447181400396,0.3069844718140039,0.23998447181400392,0.8309844718140039,0.500984471814004,0.646984471814004,0.646984471814004,0.6429844718140039,0.572984471814004,0.7179844718140038,0.7179844718140038,0.6429844718140039,0.572984471814004,0.7179844718140038,0.7179844718140038
45-50,Rs4084,0.3432191654127184,0.4542191654127184,0.4542191654127184,0.42121916541271853,0.3872191654127185,0.3202191654127184,0.25321916541271844,0.8442191654127186,0.5142191654127185,0.6602191654127185,0.6602191654127185,0.6562191654127184,0.5862191654127185,0.7312191654127185,0.7312191654127185,0.6562191654127184,0.5862191654127185,0.7312191654127185,0.7312191654127185
50-55,Rs4084,0.352415799411281,0.463415799411281,0.463415799411281,0.430415799411281,0.3964157994112811,0.32941579941128096,0.26241579941128096,0.8534157994112811,0.523415799411281,0.6694157994112809,0.6694157994112809,0.665415799411281,0.5954157994112811,0.740415799411281,0.740415799411281,0.665415799411281,0.5954157994112811,0.740415799411281,0.740415799411281
55-60,Rs4084,0.3560942935742393,0.4670942935742393,0.4670942935742393,0.4340942935742393,0.40009429357423937,0.3330942935742393,0.2660942935742393,0.8570942935742394,0.5270942935742393,0.6730942935742393,0.6730942935742393,0.6690942935742392,0.5990942935742394,0.7440942935742393,0.7440942935742393,0.6690942935742392,0.5990942935742394,0.7440942935742393,0.7440942935742393
60-65,Rs4084,0.3518112959005596,0.4628112959005595,0.4628112959005595,0.4298112959005596,0.3958112959005596,0.3288112959005595,0.26181129590055957,0.8528112959005597,0.5228112959005595,0.6688112959005595,0.6688112959005595,0.6648112959005595,0.5948112959005596,0.7398112959005596,0.7398112959005596,0.6648112959005595,0.5948112959005596,0.7398112959005596,0.7398112959005596
65-70,Rs4084,0.335903061184632,0.44690306118463197,0.44690306118463197,0.41390306118463205,0.379903061184632,0.31290306118463196,0.24590306118463198,0.8369030611846322,0.506903061184632,0.652903061184632,0.652903061184632,0.6489030611846319,0.578903061184632,0.723903061184632,0.723903061184632,0.6489030611846319,0.578903061184632,0.723903061184632,0.723903061184632
70-75,Rs4084,0.30683403438958035,0.41783403438958044,0.41783403438958044,0.3848340343895804,0.35083403438958044,0.2838340343895804,0.2168340343895804,0.8078340343895805,0.47783403438958044,0.6238340343895804,0.6238340343895804,0.6198340343895803,0.5498340343895805,0.6948340343895805,0.6948340343895805,0.6198340343895803,0.5498340343895805,0.6948340343895805,0.6948340343895805
75+,Rs4084,0.21474021173651486,0.3257402117365149,0.3257402117365149,0.29274021173651493,0.2587402117365149,0.19174021173651487,0.1247402117365149,0.7157402117365149,0.3857402117365149,0.5317402117365149,0.5317402117365149,0.5277402117365149,0.4577402117365149,0.6027402117365148,0.6027402117365148,0.5277402117365149,0.4577402117365149,0.6027402117365148,0.6027402117365148
0-5,GX/P1E,0.22166930162190152,0.3606693016219015,0.3606693016219015,0.2556693016219015,0.1086693016219015,0.2116693016219015,0.2116693016219015,0.7076693016219014,0.3216693016219014,0.40566930162190146,0.40566930162190146,0.5126693016219014,0.5086693016219015,0.6716693016219017,0.6716693016219017,0.5126693016219014,0.5086693016219015,0.6716693016219017,0.6716693016219017
5-10,GX/P1E,0.24438169159419368,0.38338169159419366,0.38338169159419366,0.2783816915941937,0.13138169159419366,0.23438169159419367,0.23438169159419367,0.7303816915941936,0.34438169159419363,0.4283816915941937,0.4283816915941937,0.5353816915941936,0.5313816915941937,0.6943816915941938,0.6943816915941938,0.5353816915941936,0.5313816915941937,0.6943816915941938,0.6943816915941938
10-15,GX/P1E,0.2670394037591624,0.40603940375916237,0.40603940375916237,0.3010394037591624,0.15403940375916236,0.2570394037591624,0.2570394037591624,0.7530394037591623,0.36703940375916233,0.45103940375916235,0.45103940375916235,0.5580394037591624,0.5540394037591625,0.7170394037591625,0.7170394037591625,0.5580394037591624,0.5540394037591625,0.7170394037591625,0.7170394037591625
