ageGroup,virus,V1,V2,V3,SARS2W,SARS2A,SARS2D,SARS2O,V1_SARS2W,V1_SARS2A,V1_SARS2D,V1_SARS2O,V2_SARS2W,V2_SARS2A,V2_SARS2D,V2_SARS2O,V3_SARS2W,V3_SARS2A,V3_SARS2D,V3_SARS2O
0-5,RaTG13,0.7982969996219016,0.8648047218423673,0.9998511948464438,0.8631389032989545,0.8631389032989545,0.8631389032989545,0.8631389032989545,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438
5-10,RaTG13,0.8210093895941937,0.8875171118146594,1,0.8858512932712466,0.8858512932712466,0.8858512932712466,0.8858512932712466,1,1,1,1,1,1,1,1,1,1,1,1
10-15,RaTG13,0.8436671017591624,0.9101748239796281,1,0.9085090054362154,0.9085090054362154,0.9085090054362154,0.9085090054362154,1,1,1,1,1,1,1,1,1,1,1,1
15-20,RaTG13,0.866834552707599,0.9333422749280649,1,0.9316764563846519,0.9316764563846519,0.9316764563846519,0.9316764563846519,1,1,1,1,1,1,1,1,1,1,1,1
20-25,RaTG13,0.8886211729511282,0.9551288951715939,1,0.9534630766281811,0.9534630766281811,0.9534630766281811,0.9534630766281811,1,1,1,1,1,1,1,1,1,1,1,1
25-30,RaTG13,0.9094850879301255,0.9759928101505913,1,0.9743269916071782,0.9743269916071782,0.9743269916071782,0.9743269916071782,1,1,1,1,1,1,1,1,1,1,1,1
30-35,RaTG13,0.9291741154290797,0.9950331656892938,1,0.9936875553386176,0.9936875553386176,0.9936875553386176,0.9936875553386176,1,1,1,1,1,1,1,1,1,1,1,1
35-40,RaTG13,0.9473897915637681,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40-45,RaTG13,0.963612169814004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45-50,RaTG13,0.9768468634127184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50-55,RaTG13,0.986043497411281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55-60,RaTG13,0.9897219915742393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60-65,RaTG13,0.9854389939005597,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65-70,RaTG13,0.9695307591846322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70-75,RaTG13,0.9404617323895805,0.997877643556734,1,0.9973050074817991,0.9973050074817991,0.9973050074817991,0.9973050074817991,1,1,1,1,1,1,1,1,1,1,1,1
75+,RaTG13,0.848367909736515,0.9148756319569807,1,0.9132098134135678,0.9132098134135678,0.9132098134135678,0.9132098134135678,1,1,1,1,1,1,1,1,1,1,1,1
0-5,Rs4084,0.7982969996219016,0.8648047218423673,0.9998511948464438,0.8631389032989545,0.8631389032989545,0.8631389032989545,0.8631389032989545,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438
5-10,Rs4084,0.8210093895941937,0.8875171118146594,1,0.8858512932712466,0.8858512932712466,0.8858512932712466,0.8858512932712466,1,1,1,1,1,1,1,1,1,1,1,1
10-15,Rs4084,0.8436671017591624,0.9101748239796281,1,0.9085090054362154,0.9085090054362154,0.9085090054362154,0.9085090054362154,1,1,1,1,1,1,1,1,1,1,1,1
15-20,Rs4084,0.866834552707599,0.9333422749280649,1,0.9316764563846519,0.9316764563846519,0.9316764563846519,0.9316764563846519,1,1,1,1,1,1,1,1,1,1,1,1
20-25,Rs4084,0.8886211729511282,0.9551288951715939,1,0.9534630766281811,0.9534630766281811,0.9534630766281811,0.9534630766281811,1,1,1,1,1,1,1,1,1,1,1,1
25-30,Rs4084,0.9094850879301255,0.9759928101505913,1,0.9743269916071782,0.9743269916071782,0.9743269916071782,0.9743269916071782,1,1,1,1,1,1,1,1,1,1,1,1
30-35,Rs4084,0.9291741154290797,0.9950331656892938,1,0.9936875553386176,0.9936875553386176,0.9936875553386176,0.9936875553386176,1,1,1,1,1,1,1,1,1,1,1,1
35-40,Rs4084,0.9473897915637681,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40-45,Rs4084,0.963612169814004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45-50,Rs4084,0.9768468634127184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50-55,Rs4084,0.986043497411281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55-60,Rs4084,0.9897219915742393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60-65,Rs4084,0.9854389939005597,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65-70,Rs4084,0.9695307591846322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70-75,Rs4084,0.9404617323895805,0.997877643556734,1,0.9973050074817991,0.9973050074817991,0.9973050074817991,0.9973050074817991,1,1,1,1,1,1,1,1,1,1,1,1
75+,Rs4084,0.848367909736515,0.9148756319569807,1,0.9132098134135678,0.9132098134135678,0.9132098134135678,0.9132098134135678,1,1,1,1,1,1,1,1,1,1,1,1
0-5,GX/P1E,0.7982969996219016,0.8648047218423673,0.9998511948464438,0.8631389032989545,0.8631389032989545,0.8631389032989545,0.8631389032989545,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438
5-10,GX/P1E,0.8210093895941937,0.8875171118146594,1,0.8858512932712466,0.8858512932712466,0.8858512932712466,0.8858512932712466,1,1,1,1,1,1,1,1,1,1,1,1
