ageGroup,virus,u_death,R0,u_incubation,u_recovery,disability_weighting,u_death_natural,u_transmission
0-5,RaTG13,3.636988735910405e-6,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.0750627911037369
5-10,RaTG13,5.898971833644324e-6,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07506635421494769
10-15,RaTG13,9.555650102334318e-6,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07507211427184043
15-20,RaTG13,1.5748769987530132e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07508186977130228
20-25,RaTG13,2.551791787149517e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07509725828608829
25-30,RaTG13,4.1329172463941244e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07512216442201444
30-35,RaTG13,6.702967755666855e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07516264826024932
35-40,RaTG13,1.0903401989542324e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07522881415832289
40-45,RaTG13,1.7799627469253232e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07533744458241161
45-50,RaTG13,2.8885029894753296e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07551206357800845
50-55,RaTG13,4.647775465914023e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07578918693449592
55-60,RaTG13,7.424133989759277e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07622652327849311
60-65,RaTG13,0.0011819161942601276,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07691883496668216
65-70,RaTG13,0.0018717521541870407,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07800547537742562
70-75,RaTG13,0.002850105916406515,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07954659355013322
75+,RaTG13,0.005878204790913614,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.08431650233412123
0-5,Rs4084,3.636988735910405e-6,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.0750627911037369
5-10,Rs4084,5.898971833644324e-6,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07506635421494769
10-15,Rs4084,9.555650102334318e-6,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07507211427184043
15-20,Rs4084,1.5748769987530132e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07508186977130228
20-25,Rs4084,2.551791787149517e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07509725828608829
25-30,Rs4084,4.1329172463941244e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07512216442201444
30-35,Rs4084,6.702967755666855e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07516264826024932
35-40,Rs4084,1.0903401989542324e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07522881415832289
40-45,Rs4084,1.7799627469253232e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07533744458241161
45-50,Rs4084,2.8885029894753296e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07551206357800845
50-55,Rs4084,4.647775465914023e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07578918693449592
55-60,Rs4084,7.424133989759277e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07622652327849311
60-65,Rs4084,0.0011819161942601276,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07691883496668216
